rooms,size,reconstructed,garage,balcony,new,location,price
3.0,70.0,1,0,1,1,Bratislava,285000.0
3.0,62.0,0,1,1,0,Nitra,184900.0
3.0,75.0,1,0,1,0,Rožňava,99000.0
2.0,61.0,1,0,1,1,Hlohovec,133000.0
3.0,76.0,0,0,0,0,Košice,308000.0
4.0,84.0,0,1,1,0,Trebišov,84900.0
3.0,72.0,1,0,1,0,Michalovce,129900.0
3.0,68.0,1,0,0,1,Nové Zámky,127500.0
2.0,28.0,1,0,1,1,Bardejov,134500.0
2.0,13.0,0,0,1,1,Poprad,177000.0
4.0,121.0,0,1,1,0,Kežmarok,157500.0
4.0,85.0,1,0,0,0,Dunajská Streda,215000.0
3.0,64.0,1,0,1,0,Dunajská Streda,120000.0
3.0,81.0,1,0,1,0,Dunajská Streda,120000.0
1.0,40.0,1,0,1,1,Košice,146500.0
3.0,67.0,1,0,0,1,Michalovce,87900.0
2.0,55.0,0,0,1,0,Snina,49900.0
4.0,75.0,1,0,1,0,Dunajská Streda,148000.0
3.0,60.0,1,0,1,0,Michalovce,118000.0
3.0,64.0,1,0,1,1,Prievidza,114000.0
3.0,70.0,0,0,1,0,Topoľčany,99900.0
4.0,120.0,1,1,1,0,Vranov nad Topľou,88900.0
4.0,73.0,0,0,1,0,Trebišov,139900.0
3.0,65.0,1,0,1,0,Bratislava,239000.0
3.0,77.0,1,0,1,1,Martin,122900.0
3.0,61.0,0,0,1,1,Nitra,182000.0
4.0,96.0,0,1,1,1,Bratislava,485000.0
3.0,63.0,0,0,0,0,Levice,56900.0
3.0,116.0,1,0,1,0,Levice,139900.0
3.0,20.0,1,0,0,0,Levice,89500.0
3.0,68.0,0,1,1,0,Košice,279000.0
4.0,80.0,0,0,0,0,Poprad,169000.0
1.0,85.0,1,0,1,1,Bratislava,144900.0
1.0,28.0,0,0,0,0,Komárno,58900.0
4.0,165.0,0,0,0,0,Bratislava,810200.0
3.0,99.0,0,0,0,1,Bratislava,448700.0
2.0,88.0,1,0,1,0,Lučenec,78000.0
4.0,142.0,0,0,0,0,Nitra,480000.0
2.0,54.0,1,0,1,0,Humenné,88000.0
2.0,58.0,1,0,0,1,Bratislava,268100.0
2.0,52.0,1,0,1,0,Nové Zámky,99000.0
2.0,54.0,1,0,1,1,Myjava,89990.0
2.0,54.0,1,0,1,0,Bardejov,131500.0
1.0,44.0,0,0,1,1,Poprad,147800.0
2.0,55.0,1,0,1,1,Kežmarok,115000.0
1.0,35.0,0,0,0,0,Kežmarok,64900.0
1.0,35.0,0,0,0,1,Poprad,99900.0
5.0,81.0,1,0,1,0,Humenné,105000.0
3.0,72.0,1,0,1,1,Košice,199900.0
3.0,76.0,1,0,0,0,Snina,65000.0
1.0,41.0,1,0,1,0,Medzilaborce,35500.0
3.0,64.0,1,0,0,1,Banská Bystrica,175000.0
3.0,100.0,1,0,0,1,Prievidza,114990.0
2.0,32.0,1,0,1,0,Banská Bystrica,129000.0
5.0,92.0,1,0,1,0,Svidník,133500.0
2.0,58.0,1,0,1,1,Levice,92500.0
2.0,71.0,0,0,1,0,Levice,65000.0
3.0,56.0,1,0,1,0,Košice,210980.0
3.0,64.0,0,0,1,0,Bratislava,248000.0
1.0,30.0,1,0,0,0,Dunajská Streda,98500.0
4.0,66.0,0,1,0,0,Bratislava,254000.0
2.0,52.0,1,0,1,0,Poprad,115000.0
2.0,48.0,1,0,0,1,Senica,95000.0
3.0,70.0,0,0,0,0,Liptovský Mikuláš,50000.0
3.0,75.0,1,0,1,1,Bratislava,345000.0
3.0,74.0,1,0,1,1,Bratislava,190000.0
2.0,50.0,0,0,0,1,Bratislava,99000.0
3.0,68.0,1,0,1,0,Poprad,485500.0
3.0,70.0,0,0,1,0,Humenné,95000.0
2.0,50.0,1,0,1,0,Michalovce,55000.0
2.0,51.0,1,0,1,1,Bratislava,270000.0
2.0,90.0,0,0,0,0,Košice,205000.0
1.0,36.0,1,0,0,0,Spišská Nová Ves,69900.0
3.0,68.0,1,0,1,1,Považská Bystrica,125000.0
3.0,70.0,0,0,1,0,Ilava,122000.0
3.0,71.0,1,0,1,0,Vranov nad Topľou,129000.0
2.0,59.0,0,1,1,1,Ilava,110000.0
4.0,88.0,1,0,1,1,Dunajská Streda,143000.0
4.0,131.0,0,1,0,1,Bratislava,533999.0
2.0,84.0,0,0,0,0,Košice,174900.0
2.0,64.0,0,0,1,0,Brezno,105000.0
2.0,59.0,0,0,1,1,Košice,224900.0
3.0,80.0,0,0,0,0,Dolný Kubín,158000.0
3.0,60.0,0,0,1,1,Senica,158500.0
2.0,51.0,1,0,1,1,Poprad,119900.0
4.0,85.0,1,0,1,0,Poprad,199000.0
3.0,57.0,1,0,1,1,Nové Zámky,105000.0
4.0,40.0,0,0,1,1,Piešťany,320000.0
3.0,28.0,0,0,0,1,Piešťany,250000.0
3.0,75.0,1,0,1,0,Lučenec,63000.0
2.0,48.0,1,0,0,1,Bratislava,168900.0
3.0,116.0,1,0,0,0,Bratislava,499000.0
2.0,52.0,1,0,0,1,Rožňava,39500.0
1.0,48.0,1,0,1,1,Bratislava,269000.0
3.0,68.0,1,0,1,1,Dunajská Streda,130000.0
3.0,61.0,0,0,0,0,Trenčín,139000.0
3.0,75.0,1,0,1,1,Komárno,129999.0
1.0,49.0,1,0,1,0,Trenčín,114000.0
3.0,77.0,1,0,1,1,Bánovce nad Bebravou,88800.0
3.0,60.0,1,0,1,0,Púchov,155000.0
3.0,85.0,0,0,1,0,Vranov nad Topľou,120000.0
3.0,66.0,1,0,1,0,Michalovce,129000.0
4.0,19.0,1,0,1,0,Michalovce,126900.0
3.0,65.0,1,0,1,0,Michalovce,100000.0
3.0,68.0,1,0,1,0,Michalovce,119900.0
3.0,71.0,1,0,1,0,Snina,89900.0
2.0,55.0,1,0,0,0,Sobrance,35000.0
3.0,80.0,1,0,1,0,Michalovce,78900.0
2.0,64.0,0,0,0,1,Michalovce,121900.0
2.0,41.0,0,0,1,1,Trebišov,72900.0
3.0,65.0,1,0,1,1,Trebišov,97900.0
3.0,70.0,1,0,1,1,Košice,230000.0
3.0,60.0,1,0,1,1,Kysucké Nové Mesto,149500.0
3.0,60.0,1,0,1,1,Kysucké Nové Mesto,149500.0
3.0,60.0,0,0,1,1,Kysucké Nové Mesto,149500.0
1.0,28.0,1,0,0,1,Komárno,59900.0
1.0,56.0,1,1,1,0,Trnava,135000.0
4.0,120.0,1,1,0,0,Bratislava,399999.0
3.0,68.0,1,0,0,0,Vranov nad Topľou,129500.0
3.0,64.0,1,0,0,1,Nitra,144990.0
3.0,60.0,0,0,0,1,Humenné,93000.0
1.0,25.0,0,0,1,0,Žilina,129000.0
2.0,79.0,1,0,0,0,Zvolen,57300.0
4.0,103.0,1,0,1,1,Bratislava,452000.0
2.0,55.0,1,0,1,1,Spišská Nová Ves,71000.0
1.0,32.0,0,0,1,0,Bratislava,150000.0
3.0,78.0,1,0,1,1,Nové Zámky,145000.0
4.0,65.0,1,0,1,0,Košice,229000.0
3.0,63.0,1,0,0,1,Žilina,160000.0
3.0,32.0,0,0,0,0,Galanta,204900.0
3.0,90.0,1,0,1,0,Galanta,160000.0
3.0,43.0,1,1,1,1,Trnava,189900.0
3.0,82.0,1,0,1,1,Bratislava,249000.0
4.0,82.0,0,0,1,0,Levice,108000.0
5.0,78.0,1,0,1,1,Prievidza,149000.0
2.0,55.0,0,0,1,0,Košice,160000.0
2.0,54.0,1,0,0,0,Humenné,86900.0
3.0,82.0,1,1,1,1,Košice,319000.0
2.0,52.0,1,0,0,0,Čadca,112582.0
2.0,27.0,1,0,0,0,Čadca,126659.0
3.0,65.0,1,0,1,0,Košice-okolie,149900.0
1.0,29.0,1,0,1,1,Košice,129000.0
1.0,41.0,0,0,1,1,Košice,148000.0
2.0,48.0,1,0,1,0,Zvolen,117900.0
2.0,53.0,1,0,1,0,Komárno,88000.0
2.0,64.0,0,0,1,0,Zvolen,127000.0
3.0,88.0,1,0,0,1,Prievidza,145000.0
3.0,89.0,0,0,0,0,Detva,138000.0
4.0,80.0,1,0,1,1,Detva,119990.0
3.0,87.0,1,0,0,1,Detva,149000.0
3.0,37.0,1,0,0,1,Detva,65000.0
3.0,84.0,1,0,1,0,Komárno,130000.0
1.0,36.0,1,0,0,0,Skalica,87000.0
1.0,36.0,1,0,1,1,Rožňava,45000.0
1.0,32.0,1,0,1,0,Nové Mesto n.Váhom,65000.0
2.0,68.0,1,0,1,0,Banská Bystrica,124600.0
1.0,49.0,1,0,1,0,Šaľa,95000.0
3.0,75.0,1,0,1,0,Prievidza,120000.0
3.0,84.0,1,0,1,1,Trenčín,280000.0
3.0,92.0,1,0,0,0,Pezinok,238000.0
4.0,80.0,1,0,1,1,Bratislava,219500.0
2.0,56.0,0,0,0,0,Žilina,155000.0
2.0,53.0,1,0,0,0,Bardejov,112000.0
1.0,40.0,1,0,0,0,Bratislava,159000.0
2.0,80.0,0,0,0,0,Humenné,86900.0
3.0,46.0,1,0,1,0,Bratislava,244900.0
3.0,15.0,1,0,1,0,Dunajská Streda,141500.0
4.0,75.0,1,0,1,1,Bánovce nad Bebravou,115000.0
3.0,78.0,0,0,0,0,Bánovce nad Bebravou,89000.0
3.0,110.0,1,0,0,0,Tvrdošín,158000.0
2.0,40.0,0,0,0,0,Trenčín,135000.0
3.0,85.0,1,0,1,1,Prievidza,129900.0
1.0,26.0,1,0,0,0,Bratislava,175000.0
2.0,54.0,1,0,1,0,Prešov,140000.0
2.0,63.0,1,0,0,0,Skalica,126000.0
3.0,71.0,0,0,1,1,Nové Zámky,175000.0
2.0,67.0,0,0,0,1,Košice-okolie,219900.0
3.0,80.0,1,0,0,0,Košice,154500.0
3.0,85.0,1,1,1,0,Prievidza,90000.0
4.0,71.0,1,1,0,0,Bratislava,725000.0
4.0,116.0,1,0,0,0,Žilina,319000.0
1.0,30.0,1,0,1,1,Banská Bystrica,104000.0
4.0,82.0,1,0,1,0,Veľký Krtíš,91000.0
2.0,70.0,0,0,0,1,Košice,570000.0
2.0,110.0,1,0,0,1,Košice,350000.0
2.0,59.0,0,1,1,1,Bratislava,265000.0
2.0,30.0,1,0,0,0,Senec,125000.0
1.0,37.0,1,0,0,0,Prievidza,84900.0
2.0,30.0,1,0,0,0,Senec,125000.0
2.0,65.0,0,0,1,0,Bratislava,289000.0
3.0,66.0,0,0,1,0,Dunajská Streda,133000.0
2.0,50.0,1,0,1,0,Michalovce,54900.0
3.0,120.0,0,1,1,0,Bratislava,389990.0
2.0,38.0,1,0,0,0,Trnava,151000.0
2.0,67.0,0,0,1,0,Trenčín,117000.0
2.0,56.0,1,1,1,1,Bratislava,234000.0
1.0,35.0,0,1,1,0,Kežmarok,55000.0
3.0,65.0,1,0,1,0,Žilina,190000.0
3.0,79.0,1,0,0,0,Žiar nad Hronom,215000.0
3.0,56.0,1,1,1,0,Banská Bystrica,262900.0
3.0,90.0,0,1,1,1,Banská Bystrica,295000.0
5.0,65.0,1,0,0,1,Stropkov,69000.0
3.0,77.0,1,0,1,1,Stropkov,104000.0
2.0,11.0,0,1,1,0,Dunajská Streda,96200.0
2.0,88.0,0,1,0,1,Bratislava,184900.0
3.0,29.0,1,0,1,0,Bratislava,249900.0
3.0,77.0,0,1,1,1,Hlohovec,149900.0
5.0,57.0,1,0,1,1,Bánovce nad Bebravou,120000.0
3.0,66.0,1,0,1,0,Banská Bystrica,173000.0
3.0,72.0,1,0,1,0,Trenčín,135000.0
3.0,74.0,1,0,1,1,Bánovce nad Bebravou,117000.0
2.0,61.0,0,0,1,0,Ilava,103000.0
3.0,56.0,1,0,0,0,Bánovce nad Bebravou,116990.0
3.0,82.0,1,0,1,0,Bánovce nad Bebravou,119500.0
1.0,40.0,1,0,0,1,Púchov,118500.0
2.0,48.0,0,0,1,0,Bánovce nad Bebravou,57000.0
2.0,56.0,1,0,1,0,Bánovce nad Bebravou,59000.0
3.0,64.0,0,0,1,0,Michalovce,120000.0
5.0,24.0,1,0,0,1,Žiar nad Hronom,116500.0
2.0,51.0,1,0,1,1,Košice,179900.0
3.0,70.0,1,0,1,0,Bratislava,269900.0
3.0,75.0,0,0,0,0,Lučenec,60500.0
2.0,30.0,0,0,1,0,Bratislava,259000.0
3.0,44.0,1,0,1,0,Revúca,85000.0
4.0,64.0,1,0,1,1,Kysucké Nové Mesto,209000.0
2.0,80.0,1,0,0,0,Prievidza,99000.0
1.0,73.0,0,0,0,0,Šaľa,66000.0
3.0,65.0,0,0,1,1,Pezinok,206000.0
3.0,65.0,1,0,0,0,Liptovský Mikuláš,147000.0
3.0,54.0,1,0,1,1,Bratislava,259000.0
5.0,42.0,1,0,0,1,Košice,187000.0
3.0,75.0,1,0,1,0,Trenčín,139900.0
5.0,132.0,1,0,1,0,Zvolen,210000.0
3.0,68.0,1,0,1,0,Martin,118000.0
2.0,56.0,1,0,0,0,Banská Bystrica,100000.0
2.0,62.0,1,0,1,0,Poltár,73000.0
4.0,84.0,0,0,1,0,Martin,170000.0
3.0,19.0,0,1,0,0,Bratislava,430000.0
3.0,68.0,1,0,0,1,Košice-okolie,79900.0
4.0,22.0,0,1,1,0,Nitra,204000.0
3.0,80.0,1,0,1,0,Žilina,170000.0
3.0,75.0,1,1,0,1,Prievidza,189900.0
3.0,54.0,1,0,1,1,Košice,184500.0
3.0,71.0,1,0,1,0,Bardejov,134990.0
3.0,76.0,1,0,1,1,Sabinov,124900.0
3.0,63.0,0,0,1,0,Dunajská Streda,130000.0
3.0,22.0,0,0,1,0,Rožňava,98000.0
3.0,35.0,1,0,1,0,Banská Bystrica,167000.0
5.0,50.0,0,0,1,0,Bratislava,249890.0
3.0,105.0,1,0,0,0,Levice,93700.0
2.0,66.0,0,0,1,0,Levice,58000.0
3.0,78.0,1,0,1,1,Topoľčany,139000.0
3.0,77.0,1,1,1,0,Prievidza,94000.0
3.0,80.0,1,1,1,1,Komárno,79990.0
3.0,87.0,0,1,1,1,Bratislava,380000.0
3.0,66.0,1,0,1,0,Levoča,105000.0
3.0,73.0,1,0,1,0,Spišská Nová Ves,125000.0
4.0,84.0,1,0,1,0,Zvolen,166598.0
4.0,79.0,1,0,0,0,Zvolen,178000.0
3.0,79.0,0,0,0,1,Dunajská Streda,187000.0
1.0,30.0,1,0,1,0,Skalica,57000.0
2.0,48.0,1,0,0,0,Poprad,129900.0
2.0,55.0,0,0,0,0,Prievidza,78000.0
2.0,44.0,0,0,1,0,Trnava,143000.0
1.0,40.0,1,0,1,0,Ilava,86000.0
3.0,63.0,1,0,1,0,Lučenec,65000.0
1.0,34.0,1,0,1,1,Bratislava,156700.0
3.0,82.0,0,0,0,0,Košice,138000.0
1.0,43.0,1,0,1,0,Nitra,140000.0
2.0,53.0,1,0,0,1,Trenčín,129000.0
2.0,99.0,0,1,1,1,Ilava,175684.0
3.0,46.0,0,1,1,0,Ilava,169339.0
2.0,80.0,0,1,1,1,Ilava,131438.0
2.0,106.0,1,0,1,0,Topoľčany,125000.0
1.0,40.0,1,0,1,0,Košice,155000.0
3.0,68.0,1,0,1,1,Bratislava,235000.0
3.0,81.0,1,0,1,0,Bratislava,239900.0
4.0,91.0,1,0,1,0,Senec,259900.0
2.0,54.0,1,0,1,0,Humenné,72990.0
3.0,87.0,1,0,1,0,Piešťany,113000.0
2.0,78.0,0,0,0,0,Zvolen,179860.0
2.0,67.0,0,0,1,1,Brezno,235000.0
2.0,55.0,1,0,1,0,Bratislava,280000.0
2.0,49.0,1,0,1,0,Prešov,155000.0
2.0,60.0,0,0,1,1,Bratislava,240000.0
2.0,60.0,1,0,0,0,Piešťany,185000.0
4.0,102.0,1,0,1,1,Zvolen,229900.0
2.0,54.0,0,0,0,1,Bratislava,309500.0
2.0,64.0,0,0,1,1,Bratislava,229000.0
4.0,22.0,0,1,1,1,Poprad,357171.0
4.0,111.0,0,1,0,0,Košice,595000.0
3.0,71.0,1,0,0,1,Pezinok,189900.0
3.0,13.0,1,0,1,1,Bytča,148500.0
3.0,46.0,0,0,0,1,Zvolen,149000.0
4.0,23.0,1,1,1,1,Bratislava,284990.0
3.0,23.0,1,1,1,1,Bratislava,284990.0
4.0,50.0,1,1,0,1,Bratislava,599900.0
2.0,30.0,1,0,1,0,Bratislava,295000.0
4.0,149.0,0,0,0,0,Trenčín,299900.0
2.0,64.0,1,0,1,1,Lučenec,67000.0
3.0,58.0,0,0,1,1,Čadca,279000.0
3.0,45.0,0,0,1,1,Čadca,350000.0
2.0,25.0,0,0,1,0,Skalica,109000.0
2.0,54.0,1,0,1,0,Prešov,148900.0
2.0,55.0,1,0,1,0,Prešov,153900.0
1.0,35.0,1,0,1,0,Prešov,123000.0
2.0,48.0,1,0,1,0,Komárno,84500.0
2.0,43.0,1,0,1,0,Trenčín,62000.0
3.0,68.0,1,0,1,0,Levice,70000.0
2.0,47.0,1,0,1,0,Revúca,54000.0
3.0,63.0,1,0,0,0,Bratislava,269900.0
3.0,67.0,1,0,0,1,Dunajská Streda,239000.0
3.0,67.0,1,0,1,1,Košice,230000.0
3.0,77.0,1,0,1,1,Prievidza,78500.0
3.0,78.0,1,0,1,0,Skalica,99000.0
2.0,35.0,1,0,0,1,Nitra,168000.0
2.0,93.0,1,0,1,1,Bratislava,270000.0
